"Burston, R.",21,2003,2015
"Saglam, A.",8,2004,2010
"Schunker, H.",26,2003,2016
"Fabian, D.",23,1971,2008
"Manso Sainz, R.",47,1999,2015
"Bothmer, V.",64,1993,2015
"Löptien, B.",6,2010,2016
"Denker, C.",67,1995,2016
"Balthasar, H.",82,1980,2014
"Kuckein, C.",7,2009,2016
"Rendtel, J.",124,1984,2015
"Verma, M.",48,1993,2016
"González Manrique, S.J.",0,0,0
"Dierke, A.",0,0,0
"Breitling, F.",68,2004,2016
"Vocks, C.",50,1999,2016
"Warmuth, A.",39,2000,2016
"Arlt, R.",141,1988,2016
"Valliappan, S.P.",1,2012,2012
"Mann, G.",171,1950,2016
"Önel, H.",3,2007,2009
"Dineva, E.",0,0,0
"Gontikakis, C.",30,1996,2016
"Georgoulis, M.",56,1995,2016
"Syntelis, P.",5,2012,2016
"Tziotziou, K.",37,1998,2016
"Kontogiannis, I.",10,2010,2016
"Moraitis, K.",6,2007,2016
"Vlahos, L.",98,1979,2016
"Isliker, H.",25,1989,2013
"Dimitropoulou, M.",6,2008,2016
"Anastasiadis, A.",33,1991,2016
"Tsiropoula, G.",49,1982,2016
"Preka-Papadema, P.",38,1984,2016
"Nindos, A.",44,1993,2016
"Patsourakos, S.",52,1998,2016
"Baranyi, T.",34,1992,2016
"Belucz, B.",9,2009,2015
"Gyula, N.",0,0,0
"Sándor Kiss, T.",0,0,0
"Korsós, M.B.",7,2007,2015
"Muraközy, J.",11,2003,2015
"Petrovay, K.",38,1987,2014
"Forgács-Dajka, E.",27,2001,2016
"Bloomfield, D.S.",43,2002,2016
"Gallagher, P.",106,1955,2016
"Abbo, L.",14,2004,2015
"Bemporad, A.",69,1902,2016
"Casti, M.",0,0,0
"Fineschi, S.",36,1991,2015
"Frassati, F.",0,0,0
"Giordano, S.",46,1995,2015
"Mancuso, S.",56,1972,2015
"Susino, R.",13,2007,2016
"Telloni, D.",23,2004,2015
"Zangrilli, L.",7,1997,2012
"Cauzzi, G.",34,1990,2015
"Focardi, M.",6,2009,2015
"Landini, F.",5,2008,2010
"Pancrazzi, M.",5,2009,2015
"Pucci, S.",8,2007,2015
"Romano, P.",241,1996,2016
"Spadaro, D.",66,1988,2015
"Ventura, R.",43,1985,2016
"Guglielmino, S.L.",23,2008,2016
"Zuccarello, F.",83,1981,2016
"Capparelli, V.",2,2011,2012
"Compagnino, A.",0,0,0
"Murabito, M.",0,0,0
"Straus, T.",17,1992,2015
"Andretta, V.",35,1991,2015
"Oliviero, M.",14,1997,2013
"Sasso, C.",6,2006,2015
"Ciaravella, A.",57,1991,2016
"Orlando, S.",90,1994,2016
"Barbera, M.",35,1993,2012
"Peres, G.",0,0,0
"Reale, F.",147,1985,2016
"Petralia, A.",3,2014,2016
"Ermolli, I.",36,1998,2016
"Giorgi, F.",50,1993,2015
"Stangalini, M.",18,2011,2016
"Cristaldi, A.",4,2013,2016
"Falco, M.",0,0,0
"Mangano, V.",150,2003,2016
"Massetti, S.",47,1993,2015
"Romoli, M.",61,1991,2015
"Verdini, A.",20,2005,2016
"Landi, S.",31,1990,2015
"Carbone, V.",117,1987,2015
"Greco, A.",45,1977,2015
"Lepreti, F.",25,2000,2015
"Primavera, L.",18,1996,2015
"Zimbardo, G.",85,1984,2016
"Berrilli, F.",64,1987,2016
"Del Moro, D.",42,2003,2016
"Pucacco, G.",37,1984,2016
"Giovannelli, L.",3,2015,2016
"Lovric, M.",1,1990,1990
"Pucci, F.",10,2014,2016
"Scardigli, S.",6,2013,2016
"Penza, V.",15,2002,2016
"Forte, R.",0,0,0
"Pietropaolo, E.",37,1990,2015
"Gudiksen, B.",24,2001,2016
"Kato, Y.",105,1932,2016
"Ortiz, A.",33,1999,2016
"Pereira, T.",46,2004,2016
"Rouppe van der Voort, L.",76,2002,2016
"Szydlarski, M.",1,2014,2014
"Vissers, G.",11,2009,2015
"Zacharias, P.",6,2005,2011
"Hansteen, V.",108,1848,2016
"Carlsson, M.",136,1980,2016
"Wedemeyer, S.",12,2001,2015
"Jafarzadeh, S.",8,2013,2015
"Carlyle, J.",3,2013,2014
