"Hammerschlag, R.",60,1969,2014
"Keller, C.",500,1958,2015
"Snik, F.",91,2004,2015
"Chatterjee, P.",301,1960,2016
"Gudiksen, B.",49,2001,2016
"Jafarzadeh, S.",16,2003,2016
"Kato, Y.",500,1932,2015
"Lin, H.",500,1971,2015
"Ortiz Carbonell, A.",1,2014,2014
"Pereira, T.",178,1997,2016
"Rouppe van der Voort, L.",109,2001,2016
"Rutten, R.",375,1967,2016
"Szydlarski, M.",5,2011,2014
"Vissers, G.",25,2003,2015
"Wedemeyer-Böhm, S.",79,1999,2016
"Zacharias, P.",32,1970,2015
"Hansteen, V.",240,1821,2016
"Carlsson, M.",340,1978,2016
"van der Voort Luc, R.",0,0,0
"Wedemeyer, S.",34,1999,2016
"Jafarzadeh, S.",16,2003,2016
"Kato, Y.",500,1932,2015
"Carlyle, J.",18,1975,2014
"De Pontieu, B.W.",194,1989,2016
"Drews, A.",64,1990,2015
"Engvold, O.",261,1966,2015
"Golding, T.",91,1978,2016
"Haugan, S.",37,1993,2013
"Charambolos, K.",0,0,0
"Omang, M.",15,2000,2015
"Rathore, B.",32,1983,2015
"Sekhar, A.",56,1992,2016
"Wiesmann, M.",35,1994,2014
"Skogsrud, H.",6,2014,2016
"Olluri, K.",4,2012,2015
"Sekse, D.H.",3,2012,2013
"Berlicki, A.",67,1996,2015
"Mrozek, T.",64,2000,2015
"Tomczak, M.",148,1966,2015
"Kolaczek-Szymanski, P.",0,0,0
"Szaforz, Z.",14,2014,2016
"St??licki, M.",0,0,0
"Wawrzaszek, A.",21,2009,2015
"Macek, W.",95,1963,2015
"Grzedzielski, S.",122,1959,2015
"Czechowski, A.",139,1975,2015
"Ratkiewicz, R.",73,1975,2014
"Sylwester, J.",287,1973,2016
"Siarkowski, M.",117,1980,2016
"Gburek, S.",49,1998,2015
"Gryciuk, M.",16,2010,2015
"Kepa, A.",38,1982,2015
"Kowalinski, M.",35,2002,2016
"Podgorski, P.",25,2008,2016
"Sylwester, B.",172,1973,2016
"Fernandes, J.",315,1955,2016
"Bodnarova, M.",11,2005,2016
"Gömöry, P.",40,2003,2016
"Koza, J.",33,1992,2015
"Kucera, A.",184,1980,2016
"Rusin, V.",218,1969,2015
